2209140,1971496,977783,536577,889145,1188992,237233,663663,2492670,465836,292877,2259989,542998,1299168,1698306,2895487,1539570,790595,343399,1189633,482081,1302726,344355,22065,1023734,6310404,895086,288901,1182427,891377,370268,1282460,950427,782403,696407,550204,1216209,268913,51000,685059,87241,601051,118461,528302,666030,570884,305486,4099275,61056,145622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020. 11. 2.,2020. 11. 2.,2020. 11. 2.,2020. 11. 2.,2020. 11. 2.,2020. 11. 2.,2020. 11. 3.,2020. 11. 3.,2020. 10. 31.,2020. 11. 2.,2020. 11. 2.,2020. 10. 31.,최초 공개: 2020. 11. 2.,2020. 11. 1.,2020. 11. 1.,2020. 10. 30.,2020. 10. 31.,2020. 11. 1.,2020. 11. 2.,2020. 11. 1.,2020. 11. 1.,2020. 10. 31.,2020. 11. 1.,2020. 11. 3.,최초 공개: 2020. 10. 31.,2020. 11. 2.,2020. 10. 31.,2020. 11. 2.,2020. 11. 2.,2020. 11. 1.,2020. 11. 1.,2020. 10. 30.,2020. 10. 31.,2020. 11. 2.,2020. 10. 31.,2020. 11. 1.,2020. 10. 31.,2020. 11. 2.,2020. 11. 2.,2020. 11. 1.,2020. 11. 1.,2020. 10. 31.,2020. 11. 2.,2020. 10. 31.,2020. 10. 31.,2020. 10. 31.,2020. 11. 1.,2020. 10. 28.,2020. 11. 2.,2020. 10. 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9만,1.6만,7.6천,6.7천,6.7천,7.7천,"2천
이 동영상이 마음에 듭니다.",5.6천,"2.8만
이 동영상이 마음에 듭니다.","1.1만
이 동영상이 마음에 듭니다.","4.4천
이 동영상이 마음에 듭니다.","2.5만
이 동영상이 마음에 듭니다.","1만
이 동영상이 마음에 듭니다.","1.8만
이 동영상이 마음에 듭니다.","3.4만
이 동영상이 마음에 듭니다.","5.9만
이 동영상이 마음에 듭니다.","1만
이 동영상이 마음에 듭니다.","1.3만
이 동영상이 마음에 듭니다.","3.6천
이 동영상이 마음에 듭니다.","1.7만
이 동영상이 마음에 듭니다.","7.5천
이 동영상이 마음에 듭니다.","2.5만
이 동영상이 마음에 듭니다.","7.8천
이 동영상이 마음에 듭니다.","102
이 동영상이 마음에 듭니다.","2.8만
이 동영상이 마음에 듭니다.","45만
이 동영상이 마음에 듭니다.","2.8만
이 동영상이 마음에 듭니다.","4.5천
이 동영상이 마음에 듭니다.","14만
이 동영상이 마음에 듭니다.","4.3천
이 동영상이 마음에 듭니다.","1.2만
이 동영상이 마음에 듭니다.","1.3만
이 동영상이 마음에 듭니다.","1.1만
이 동영상이 마음에 듭니다.","9.6만
이 동영상이 마음에 듭니다.","1.2만
이 동영상이 마음에 듭니다.","1만
이 동영상이 마음에 듭니다.",7.3천,"8.5천
이 동영상이 마음에 듭니다.","좋아요
이 동영상이 마음에 듭니다.","1.3만
이 동영상이 마음에 듭니다.","1.3천
이 동영상이 마음에 듭니다.","8.6천
이 동영상이 마음에 듭니다.","1.8천
이 동영상이 마음에 듭니다.","1.2만
이 동영상이 마음에 듭니다.","4.2만
이 동영상이 마음에 듭니다.","1만
이 동영상이 마음에 듭니다.","5.2천
이 동영상이 마음에 듭니다.","10만
이 동영상이 마음에 듭니다.","3천
이 동영상이 마음에 듭니다.","658
이 동영상이 마음에 듭니다."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,537,264,294,303,375,57,142,2.3천,173,65,504,120,315,927,823,2천,273,113,432,188,327,464,12,273,3.2천,402,83,7.6천,247,160,541,621,525,518,268,417,59,싫어요,380,54,410,25,241,110,583,204,2.4천,37,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.1,2060000,19.3,660000,56.8,56.8,19.3,28.1,7730000,84.5,32.4,7730000,91.6,84.9,6.56,1030000,58.6,1110000,65.4,1250000,3060000,4.79,46.6,14.1,1350000,4490000,22.9,32.4,23.1,1080000,1300000,11.7,1430000,72.1,84.5,27.9,23.6,64.6,1.13,1100000,14.3,1180000,19.1,9.15,92.9,91.1,24.5,6.56,180000,244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12855,6776,1634,1190,2013,1668,404,1924,10073,1348,496,4848,1467,3685,4483,5498,5135,1638,421,2290,822,1195,974,49,5955,65731,1838,397,12166,1058,635,4136,4805,8079,1279,718,2290,498,1454,2777,83,1177,259,2632,5679,2039,664,15296,818,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05,1.27,2.56,7.18,1.22,1.23,1.19,1.25,1.52,9.45,12.22,1.21,13.51,16.04,13.07,19.02,19.26,11.13,15.52,8.36,18.48,9.32,10.34,0.51,8.02,3.2,15.46,13.53,0.46,16.26,7.42,25.52,3.41,2.11,8.11,8.09,4.35,4.29,3.22,15.09,17.19,11.57,8.11,8.04,4.44,8.17,4.05,8.05,2.34,0.5
