2479148,3008234,939751,1238319,1798286,2495139,335615,1395420,665891,2971625,874533,580331,449836,709916,673992,1572892,1075389,120367,219118,138773,2117832,307256,1324577,596262,596158,238443,2288217,508508,748008,808967,1464229,1924921,736388,215256,89688,218777,245232,651697,63965,2777627,562373,8798811,546780,63846,154257,123444,823307,328100,603129,421169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020. 11. 6.,2020. 11. 6.,2020. 11. 7.,2020. 11. 7.,최초 공개: 2020. 11. 6.,2020. 11. 5.,2020. 11. 7.,2020. 11. 5.,2020. 11. 5.,2020. 11. 4.,2020. 11. 6.,2020. 11. 6.,2020. 11. 7.,2020. 11. 7.,2020. 11. 6.,최초 공개: 2020. 11. 6.,2020. 11. 6.,2020. 11. 7.,2020. 11. 7.,2020. 11. 6.,2020. 11. 6.,2020. 11. 6.,2020. 11. 6.,2020. 11. 6.,2020. 11. 6.,2020. 11. 7.,2020. 11. 8.,최초 공개: 2020. 11. 7.,2020. 11. 7.,2020. 11. 6.,2020. 11. 4.,최초 공개: 2020. 11. 4.,2020. 11. 6.,2020. 11. 6.,2020. 11. 8.,2020. 11. 6.,2020. 11. 6.,최초 공개: 2020. 11. 5.,2020. 11. 7.,2020. 11. 3.,2020. 11. 7.,최초 공개: 2020. 11. 6.,2020. 11. 5.,2020. 11. 7.,2020. 11. 6.,2020. 11. 6.,2020. 11. 6.,2020. 11. 6.,2020. 11. 4.,2020. 11. 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9만,3.9만,1.4만,3.4만,"2만
이 동영상이 마음에 듭니다.","7.5만
이 동영상이 마음에 듭니다.","8.8천
이 동영상이 마음에 듭니다.",2.5만,"5.8천
이 동영상이 마음에 듭니다.",9.2만,"1.9만
이 동영상이 마음에 듭니다.","5.7천
이 동영상이 마음에 듭니다.","7.5천
이 동영상이 마음에 듭니다.","1.1만
이 동영상이 마음에 듭니다.","6.9천
이 동영상이 마음에 듭니다.","5.8만
이 동영상이 마음에 듭니다.","2.2만
이 동영상이 마음에 듭니다.","1.6천
이 동영상이 마음에 듭니다.","5.1천
이 동영상이 마음에 듭니다.","4.2천
이 동영상이 마음에 듭니다.","22만
이 동영상이 마음에 듭니다.","5.3천
이 동영상이 마음에 듭니다.","4.7만
이 동영상이 마음에 듭니다.","8.5천
이 동영상이 마음에 듭니다.","6.3천
이 동영상이 마음에 듭니다.","8천
이 동영상이 마음에 듭니다.","4.6만
이 동영상이 마음에 듭니다.","9.1천
이 동영상이 마음에 듭니다.","1.7만
이 동영상이 마음에 듭니다.","2.2천
이 동영상이 마음에 듭니다.","4만
이 동영상이 마음에 듭니다.","4.9만
이 동영상이 마음에 듭니다.","2.5만
이 동영상이 마음에 듭니다.","5.4천
이 동영상이 마음에 듭니다.","2.8천
이 동영상이 마음에 듭니다.","4.2천
이 동영상이 마음에 듭니다.","5천
이 동영상이 마음에 듭니다.","1.7만
이 동영상이 마음에 듭니다.","997
이 동영상이 마음에 듭니다.","1.7만
이 동영상이 마음에 듭니다.","8.9천
이 동영상이 마음에 듭니다.","98만
이 동영상이 마음에 듭니다.",4.6천,"523
이 동영상이 마음에 듭니다.",1.1천,"2.9천
이 동영상이 마음에 듭니다.","2.3만
이 동영상이 마음에 듭니다.","1.2만
이 동영상이 마음에 듭니다.","1.1만
이 동영상이 마음에 듭니다.","1.4만
이 동영상이 마음에 듭니다."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,1천,225,684,408,1만,98,601,137,2.2천,145,272,261,137,412,883,923,76,108,55,2.6천,187,1천,169,199,119,950,190,561,141,847,451,374,74,25,64,177,108,13,1.1천,99,1.1만,667,32,"62
이 동영상이 마음에 들지 않습니다.",68,1천,152,422,149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060000,3780000,2270000,2290000,1170000,6430000,5.73,2650000,2240000,1020000,2870000,1070000,61.6,2270000,3750000,1370000,14.4,14.7,1190000,9.95,22500000,63.1,5340000,34.6,60.5,46.8,2360000,51.7,84.4,1320000,2290000,1070000,2790000,19.2,18.4,16.9,8.05,33.2,1.99,1090000,20.8,2780000,14.2,7.25,25.5,,1550000,48.6,13.6,21.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13864,2918,1084,3124,1437,24598,503,3528,600,17710,2044,395,1879,715,1896,8683,3948,61,1108,113,9792,567,1906,1258,903,1621,2148,1606,3644,401,3702,7313,3486,709,179,103,710,1766,212,4984,1005,339340,1149,223,46,464,2546,3882,1320,2532
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
