,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,영상길이
0,2209140,2020. 11. 2.,19000,553,281000,12855,65
1,1971496,2020. 11. 2.,16000,537,2060000,6776,87
2,977783,2020. 11. 2.,7600,264,193000,1634,176
3,536577,2020. 11. 2.,6700,294,660000,1190,438
4,889145,2020. 11. 2.,6700,303,568000,2013,82
5,1188992,2020. 11. 2.,7700,375,568000,1668,83
6,237233,2020. 11. 3.,2000,57,193000,404,79
7,663663,2020. 11. 3.,5600,142,281000,1924,85
8,2492670,2020. 10. 31.,28000,2300,7730000,10073,112
9,465836,2020. 11. 2.,11000,173,845000,1348,585
10,292877,2020. 11. 2.,4400,65,324000,496,742
11,2259989,2020. 10. 31.,25000,504,7730000,4848,81
12,542998,2020. 11. 2.,10000,120,916000,1467,831
13,1299168,2020. 11. 1.,18000,315,849000,3685,964
14,1698306,2020. 11. 1.,34000,927,65600,4483,787
15,2895487,2020. 10. 30.,59000,823,1030000,5498,1142
16,1539570,2020. 10. 31.,10000,2000,586000,5135,1166
17,790595,2020. 11. 1.,13000,273,1110000,1638,673
18,343399,2020. 11. 2.,3600,113,654000,421,952
19,1189633,2020. 11. 1.,17000,432,1250000,2290,516
20,482081,2020. 11. 1.,7500,188,3060000,822,1128
21,1302726,2020. 10. 31.,25000,327,47900,1195,572
22,344355,2020. 11. 1.,7800,464,466000,974,634
23,22065,2020. 11. 3.,102,12,141000,49,51
24,1023734,2020. 10. 31.,28000,273,1350000,5955,482
25,6310404,2020. 11. 2.,450000,3200,4490000,65731,182
26,895086,2020. 10. 31.,28000,402,229000,1838,946
27,288901,2020. 11. 2.,4500,83,324000,397,833
28,1182427,2020. 11. 2.,140000,7600,231000,12166,46
29,891377,2020. 11. 1.,4300,247,1080000,1058,986
30,370268,2020. 11. 1.,12000,160,1300000,635,462
31,1282460,2020. 10. 30.,13000,541,117000,4136,1552
32,950427,2020. 10. 31.,11000,621,1430000,4805,221
33,782403,2020. 11. 2.,96000,525,721000,8079,131
34,696407,2020. 10. 31.,12000,518,845000,1279,491
35,550204,2020. 11. 1.,10000,268,279000,718,489
36,1216209,2020. 10. 31.,7300,417,236000,2290,275
37,268913,2020. 11. 2.,8500,59,646000,498,269
38,51000,2020. 11. 2.,0,0,11299,1454,202
39,685059,2020. 11. 1.,13000,380,1100000,2777,909
40,87241,2020. 11. 1.,1300,54,143000,83,1039
41,601051,2020. 10. 31.,8600,410,1180000,1177,717
42,118461,2020. 11. 2.,1800,25,191000,259,491
43,528302,2020. 10. 31.,12000,241,91500,2632,484
44,666030,2020. 10. 31.,42000,110,929000,5679,284
45,570884,2020. 10. 31.,10000,583,911000,2039,497
46,305486,2020. 11. 1.,5200,204,245000,664,245
47,4099275,2020. 10. 28.,100000,2400,65600,15296,485
48,61056,2020. 11. 2.,3000,37,180000,818,154
49,145622,2020. 10. 31.,658,62,244,58,5
