,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
0,1814136,2020. 11. 12.,41000,658,2660000,7781,[신병] 분리수거,283
1,648011,2020. 11. 13.,7800,242,200000,1640,강형욱 최초로 상황실 뛰쳐나가다! 지능적으로 보호자 무시하는 골든 레트리버 '도리' [개는 훌륭하다],1389
2,761228,2020. 11. 13.,4200,339,120000,3400,2020 올림픽대표 평가전 대한민국 vs 이집트 하이라이트,584
3,1678776,2020.11.11.,46000,1000,2290000,10054,"안녕, 루시퍼 [지옥에서 온 그녀]",492
4,573445,2020.11.12.,6600,139,254000,1228,손흥민 이강인 합류 완전체 훈련 돌입,381
5,524824,2020.11.12.,10000,267,338000,3552,이것은 상상도 못한 가지 | 맘스터치 리얼비프 버거,497
6,341658,2020. 11. 12.,5900,82,2250000,642,[#유퀴즈온더블럭] 화재현장 베테랑 김명배 소방위님이 기억하는 대구 지하철 화재사건 | #갓구운클립 #Diggle,603
7,582014,2020. 11. 11.,4600,1600,30000,3952,[TV조선 조이] 함소원 베이비시터 이모 퇴직 선언하고 짐 싸서 나간 사연은??😲 #TVCHOSUNJOY #직박구리,1118
8,922196,2020. 11. 12.,140000,795,1890000,12057,[CHOREOGRAPHY] GFRIEND (여자친구) 'MAGO' Dance Practice (Eye Mask ver.),254
9,128507,2020. 11. 12.,1900,42,740000,161,한국을 찾은 핀란드 새신랑 빌푸의 알찬 자가격리 생활! l #어서와정류장 l #어서와한국은처음이지 l EP.165,861
10,1012996,2020. 11. 11.,20000,319,1780000,3743,노래방 사장님의 노래실력 (Feat. 임창정) | ODG,531
11,1215791,2020. 11. 11.,53000,32000,4700000,9999,SUB)바삭한 돈까스에 매콤새콤 쫄면 먹방 ! (ft.왕새우튀김) 리얼사운드 Pork cutlet jjolmyeon mukbang asmr,506
12,165552,2020. 11. 13.,1300,44,1320000,207,"[요약] 김소연X최예빈, 불륜+살인+부정입학 미스터리한 모녀의 비밀! #펜트하우스 #SBScatch",1452
13,648333,2020. 11. 12.,15000,122,2290000,1132,📺 ep.19 전체 대본 리딩 - 드.뎌. 슬기로운 의사생활 🏥 출발합니다 🚀 | 슬기로운 하드털이,2024
14,1016041,2020. 11. 10.,7100,427,200000,1174,[ENG CC] 늑대개인 줄 알고 데려 왔는데... Adopted Wolfdogs.. or Wolves?,707
15,832185,2020. 11. 10.,5900,483,1080000,590,"[TV 동물농장 레전드] ‘새끼 늑대 5남매, 와일드 성장 일기’ 풀버전 다시보기 I TV동물농장 (Animal Farm) | SBS Story",998
16,299861,2020. 11. 12.,2300,116,680000,474,서진 룸살롱 사건의 배후? 범서방파 두목 김태촌의 고백 | 그알로 보는 '김태촌',724
17,560257,2020. 11. 12.,32000,128,920000,3892,[문명특급 EP.155] 오셨다 와 오셨다 🔥박력태민🔥 오셨다 하지만 Sexy 잠깐만 기다려 Boy,1196
18,139200,2020. 11. 12.,796,30,20000,138,구미호뎐 11회 - 이연에게 한방먹은 이무기 그를 만든건 복길이일까?,501
19,137519,2020. 11. 12.,5900,263,210000,604,[DEBUT STAGE] 스테이씨(STAYC) - So Bad @ DEBUT 'Star To A Young Culture' SHOWCASE Full cam,221
20,2477658,2020. 11. 12.,71000,2400,0,9888,STAYC(스테이씨) 'SO BAD' MV,215
21,525479,2020. 11. 12.,7300,134,622000,1041,친구라고? 18살 차이는 결국 극복할 수 없었습니다,524
22,261389,2020. 11. 12.,5000,128,194000,608,"김지윤 소장 #07 | ❗대공감❗ 첫째, 둘째, 막내, 외동의 가장 보편적인 특성들 알기 | #어쩌다어른 #사피엔스",832
23,232827,2020. 11. 12.,11000,137,891000,1995,미파학 개론 : Q&A 3편 - 모든 것을 말해줄게요,1785
24,146728,2020. 11. 12.,12000,145,5980000,667,[쇼챔직캠 4K] 여자친구 - 마고 (GFRIEND - MAGO) l #쇼챔피언 l EP.378,182
25,122612,2020. 11. 12.,2500,52,123000,729,"[속보] 배성재 퇴사, 프리 선언..?! / SBS 창사 30주년 특집 축구 대표팀 평가전 중계 예고",59
26,130156,2020. 11. 11.,2100,104,0,615,[전모델 오너입니다만? EP.06] 아반떼 AD 오너 훼사원의 N Line 감격 시승기! N Line에 완전 빠네빠네버렸어요-♥*+,899
27,136189,2020. 11. 12.,4100,106,57300,1556,어몽어스 애니메이션 - 펫3/AMONG US ANIMATION - PET3,223
28,113961,2020. 11. 12.,2200,117,501000,454,"(Sub)""아빠가 여기 건물주에요"" Black Pink 리사 닮은 미녀분 빵터진 카페 알바 면접 몰카ㅋㅋ",541
29,6049102,2020. 11. 11.,1360000,5400,40100000,66482,201111 Jimin (+ENG),1041
30,136715,2020. 11. 12.,1900,33,745000,217,※엄마미소 주의※ 꽁냥꽁냥 꿀 떨어지는 빌푸 부부 모먼트♡ l #어서와정류장 l #어서와한국은처음이지 l EP.165,482
31,2544879,2020. 11. 9.,78000,63000,4700000,30246,SUB)매콤달콤한 제육볶음에 된장시래기국 집밥 먹방 리얼사운드 Jeyukbokkeum mukbang ASMR,659
32,520187,2020. 11. 11.,6900,264,452000,821,저 승무원이었어요..,259
33,89114,2020. 11. 12.,5500,150,659000,476,"[4K LIVE] STAYC 스테이씨 'SO BAD' Showcase Stage 쇼케이스 무대 (수민, 시은, 아이사, 세은, 윤, 재이) [통통TV]",231
34,130775,2020. 11. 12.,3500,50,106000,994,드디어 만났습니다! 05학번 찐라떼들에게 패션을 배워보았다ㅣ라떼월드 24화,765
35,434123,2020. 11. 11.,3700,120,931000,1432,30년 만에 단종되는 '귀요미' 다마스에 숨겨진 무겁고 어두운 진실 / 비디오머그,301
36,13272264,2020. 11. 9.,720000,15000,46600000,260451,GFRIEND (여자친구) 'MAGO' Official M/V,211
37,103382,2020. 11. 12.,3300,43,1060000,335,에구구.. 정신차려 영감탱이야.. 편집해야지.. [소근노부부 S.K.Couple],645
38,142631,2020. 11. 12.,5200,119,1720000,780,제가 목소리를 잃을 수도 있답니다.,229
39,189218,2020. 11. 11.,1900,38,149000,532,(펀치력 ㅎㄷㄷ) 헤비급 최강 핵주먹 김형규 VS 최강 맷집 이상수 100% 풀파워 스파링!!,405
40,390695,2020. 11. 10.,3400,335,575000,866,"""이게 쌍용차 맞아?!"" 시승하는 내내 완전 충격 그 자체..!! 신형 올뉴 렉스턴 시승기!",1286
41,239493,2020. 11. 12.,4700,76,297000,628,겨털밀기빵 게임내기중에 프로게이머가 몰래 대신한다면?ㅎㅎ,873
42,295851,2020. 11. 11.,8300,73,2270000,712,[Eng] 초아(CHOA)에게 쎈 언니 메이크업 해주기😎 l 이사배(RISABAE Makeup),342
43,1026694,2020. 11. 10.,15000,1000,414000,1616,해명하겠습니다,36
44,23239,2020. 11. 6.,462,17,36700,13,겨울 동치미 '실패없이' 시원하고 맛있게 담그는 법 황금레시피,402
45,110924,2020. 11. 11.,1600,109,24400,154,[몰카] 속마음 들리게 말해서 친구에게 당하고 있는 미녀를 도와준다면?!ㅋㅋㅋ여자 분 벽 잡고 쓰러짐ㅋㅋㅋㅋ (ft. 구구랜드 주현정),526
46,115334,2020. 11. 11.,1000,342,145000,178,아이폰12 | 미니와 사이즈 비교 + ktM모바일 개통기,569
47,210057,2020. 11. 11.,5200,71,445000,383,빼빼로 하나로 모르는사람 커플 만들어주기 [덕출이],360
48,186305,2020. 11. 11.,3100,90,100000,683,"[몰카] 개그우먼들에게 다짜고짜 빼빼로 주기ㅋㅋㅋㅋ빼빼로데이 특집 감사몰카ㅋㅋㅋ(ft.바그냥, 박소영, 연예림, 송아리)",297
49,294970,2020. 11. 10.,6300,160,475000,677,찐 추천! 삶의 질 상승템 📈 니가 왜 거기서 나와...??🌸,1067
