,Unnamed: 0,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,영상길이
0,0,1467137,2020. 11. 4.,79000,1400,1020000,13792,218
1,1,1363580,2020. 11. 4.,42000,336,1060000,6453,1042
2,2,1085064,2020. 11. 4.,34000,662,2280000,3339,302
3,3,872083,2020. 11. 5.,12000,211,4520000,1095,792
4,4,2615154,2020. 11. 2.,21000,730,282000,14001,1038
5,5,1506744,2020. 11. 3.,9800,602,1080000,2889,65
6,6,2499120,2020. 11. 2.,19000,660,2060000,7899,673
7,7,535941,2020. 11. 4.,11000,270,598000,2123,656
8,8,590549,2020. 11. 3.,4100,272,1080000,1082,87
9,9,1444925,2020. 11. 2.,9700,429,194000,2108,176
10,10,1221149,2020. 11. 4.,36000,609,1210000,6138,425
11,11,278636,2020. 11. 4.,6300,164,121000,761,954
12,12,2681264,2020. 11. 3.,210000,2300,15800000,8957,351
13,13,703085,2020. 11. 3.,3800,171,194000,773,79
14,14,1031691,2020. 11. 3.,13000,392,1260000,1349,752
15,15,387451,2020. 11. 4.,19000,643,188000,6424,909
16,16,655174,2020. 11. 4.,9800,290,1060000,1140,774
17,17,11465685,2020. 11. 3.,1270000,15000,4840000,104814,543
18,18,583315,2020. 11. 3.,7200,119,329000,539,184
19,19,613013,2020. 11. 4.,13000,414,412000,1067,177
20,20,643295,2020. 11. 3.,13000,152,93500,2097,255
21,21,110962,2020. 11. 5.,7400,53,61800,1861,287
22,22,1626895,2020. 11. 2.,9700,534,571000,1852,1133
23,23,751843,2020. 11. 2.,7900,404,661000,1486,83
24,24,342112,2020. 11. 3.,13000,186,740000,665,438
25,25,285142,2020. 11. 4.,4700,137,602000,988,424
26,26,153994,2020. 11. 5.,761,46,1320000,118,946
27,27,1269695,2020. 11. 3.,8000,241,282000,2738,85
28,28,180935,2020. 11. 4.,17000,93,35800,1237,225
29,29,273713,2020. 11. 4.,777,42,1320000,120,611
30,30,434953,2020. 11. 3.,13000,117,220000,1688,274
31,31,918653,2020. 11. 2.,6800,321,571000,2036,82
32,32,251426,2020. 11. 4.,5300,119,21600,738,233
33,33,533693,2020. 11. 4.,3600,103,1160000,1713,861
34,34,357217,2020. 11. 4.,7800,383,912000,1836,732
35,35,447107,2020. 11. 3.,10000,264,324000,1932,1054
36,36,137793,2020. 11. 4.,3400,71,248000,386,249
37,37,123522,2020. 11. 4.,4100,68,224000,861,939
38,38,102994,2020. 11. 4.,2200,71,120000,375,413
39,39,237899,2020. 11. 4.,5800,80,75700,647,1279
40,40,865771,2020. 11. 2.,13000,205,923000,1777,831
41,41,2715527,2020. 11. 1.,56000,1600,92100,6327,787
42,42,382383,2020. 11. 4.,4400,123,232000,605,652
43,43,2032145,2020. 11. 1.,22000,475,852000,4566,964
44,44,213315,2020. 11. 3.,2800,109,235000,102,606
45,45,1899609,2020. 10. 31.,12000,2500,587000,5808,1166
46,46,654206,2020. 11. 2.,12000,299,848000,1520,585
47,47,158441,2020. 11. 3.,7600,53,520000,1096,851
48,48,1033496,2020. 11. 1.,17000,367,1110000,1889,673
49,49,294956,2020. 11. 2.,0,0,11700,4102,269
