,Unnamed: 0,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
0,0,2479148,2020. 11. 6.,69000,605,1060000,13864,화장품왕 만나서 네고해왔습니다 [네고왕] Ep.11,889
1,1,3008234,2020. 11. 6.,39000,1000,3780000,2918,로꼬 전역하자마자 연행 위기?! 💊부터 금괴까지 선 넘는 밀수품에 모든걸 의심하게 된다는 관세청 직업 리뷰 | 워크맨 ep.75,824
2,2,939751,2020. 11. 7.,14000,225,2270000,1084,🕺ep.3-2 은초딩 입맛을 만족시킨 최고의 안주는?! #언제까지어깨춤을추게할거야,863
3,3,1238319,2020. 11. 7.,34000,684,2290000,3124,장난전화 [총몇명 단편],145
4,4,1798286,2020. 11. 6.,20000,408,1170000,1437,"강형욱이 탐낸 천재견, 신비의 견종 3개월 파라오 하운드와 저 세상 터그놀이 | 강형욱의 멍스쿨",971
5,5,2495139,2020. 11. 5.,75000,10000,6430000,24598,[MPD직캠] 트와이스 1위 앵콜 직캠 4K 'I CAN'T STOP ME' (TWICE FanCam No.1 Encore) | @MCOUNTDOWN_2020.11.5,305
6,6,335615,2020. 11. 7.,8800,98,57300,503,(ENG) 환불원정대. 만옥천옥조지 험난한 브런치 원정기.,309
7,7,1395420,2020. 11. 5.,25000,601,2650000,3528,[2인팟] 제시,287
8,8,665891,2020. 11. 5.,5800,137,2240000,600,[#유퀴즈온더블럭] 어제 방송한 법치의학자&법의조사관 편! 드라마와 정반대인 국과수의 현실 | #갓구운클립 #Diggle,892
9,9,2971625,2020. 11. 4.,92000,2200,1020000,17710,임영웅 [HERO] MV,218
10,10,874533,2020. 11. 6.,19000,145,2870000,2044,[하이라이트]누구의 인생이건 예능신이 머물다 가는 순간이 있다... #신서유기8 | tvnbros8 EP.5,275
11,11,580331,2020. 11. 6.,5700,272,1070000,395,[TV 동물농장 레전드] ‘멸종 위기 늑대의 출산 현장 24시’ 풀버전 다시보기 I TV동물농장 (Animal Farm) | SBS Story,837
12,12,449836,2020. 11. 7.,7500,261,616000,1879,열망의 치킨 먹방,716
13,13,709916,2020. 11. 7.,11000,137,2270000,715,🕺ep.3-1 한잔줍쇼~십오야 콜라보! 마포로 간 어깨춤 세끼! #언제까지어깨춤을추게할거야,854
14,14,673992,2020. 11. 6.,6900,412,3750000,1896,[꼬꼬무] 7화 요약 '망치로 성인 4명을 때려 눕힌 무등산 타잔 박흥숙' | SBS NOW,1177
15,15,1572892,2020. 11. 6.,58000,883,1370000,8683,"[4K] 송민호(MINO)의 킬링벌스를 라이브로! | Hooligan, 시발점, Born Hater, Machine Gun, 노땡큐, 연금술, 붐벼, Ok man, 도망가 등",954
16,16,1075389,2020. 11. 6.,22000,923,144000,3948,Chocolate Fondue ASMR Mukbang 초코퐁듀 직접 만들어서 먹방!,632
